Frame,ID,X,Y,Width,Height
0,0,633.0437622070312,610.2337646484375,39.0904541015625,25.99212646484375
0,1,632.7112426757812,587.1817626953125,117.96044921875,24.48114013671875
0,2,NaN,NaN,NaN,NaN
0,3,NaN,NaN,NaN,NaN
0,4,NaN,NaN,NaN,NaN
0,5,NaN,NaN,NaN,NaN
0,6,NaN,NaN,NaN,NaN
0,7,NaN,NaN,NaN,NaN
0,8,NaN,NaN,NaN,NaN
0,9,NaN,NaN,NaN,NaN
0,10,NaN,NaN,NaN,NaN
0,11,NaN,NaN,NaN,NaN
0,12,NaN,NaN,NaN,NaN
0,13,NaN,NaN,NaN,NaN
0,14,NaN,NaN,NaN,NaN
1,0,631.1778564453125,609.2362060546875,38.75628662109375,27.75164794921875
1,1,631.2646484375,584.7756958007812,117.55047607421875,24.1519775390625
1,2,643.4078369140625,352.8923645019531,12.95916748046875,21.6453857421875
1,3,348.1356201171875,90.42059326171875,11.56744384765625,16.67156982421875
1,4,NaN,NaN,NaN,NaN
1,5,NaN,NaN,NaN,NaN
1,6,NaN,NaN,NaN,NaN
1,7,NaN,NaN,NaN,NaN
1,8,NaN,NaN,NaN,NaN
1,9,NaN,NaN,NaN,NaN
1,10,NaN,NaN,NaN,NaN
1,11,NaN,NaN,NaN,NaN
1,12,NaN,NaN,NaN,NaN
1,13,NaN,NaN,NaN,NaN
1,14,NaN,NaN,NaN,NaN
2,0,629.9407958984375,608.85107421875,38.57733154296875,28.37847900390625
2,1,630.1126708984375,584.0765380859375,117.45513916015625,23.66278076171875
2,2,643.3233642578125,352.886474609375,12.89813232421875,21.657562255859375
2,3,348.1591796875,90.39830017089844,11.565338134765625,16.746055603027344
2,4,NaN,NaN,NaN,NaN
2,5,NaN,NaN,NaN,NaN
2,6,NaN,NaN,NaN,NaN
2,7,NaN,NaN,NaN,NaN
2,8,NaN,NaN,NaN,NaN
2,9,NaN,NaN,NaN,NaN
2,10,NaN,NaN,NaN,NaN
2,11,NaN,NaN,NaN,NaN
2,12,NaN,NaN,NaN,NaN
2,13,NaN,NaN,NaN,NaN
2,14,NaN,NaN,NaN,NaN
3,0,628.8523559570312,608.705810546875,38.855224609375,28.40374755859375
3,1,628.9541625976562,583.875732421875,117.32470703125,23.5911865234375
3,2,643.30322265625,352.882080078125,12.87103271484375,21.643463134765625
3,3,348.17022705078125,90.38211822509766,11.589569091796875,16.782745361328125
3,4,NaN,NaN,NaN,NaN
