Frame,ID,X,Y,Width,Height
0,0,641.15478515625,612.5464477539062,40.06915283203125,20.3802490234375
0,1,641.007080078125,591.6709594726562,117.506591796875,24.1455078125
0,2,NaN,NaN,NaN,NaN
0,3,NaN,NaN,NaN,NaN
0,4,NaN,NaN,NaN,NaN
0,5,NaN,NaN,NaN,NaN
0,6,NaN,NaN,NaN,NaN
0,7,NaN,NaN,NaN,NaN
0,8,NaN,NaN,NaN,NaN
0,9,NaN,NaN,NaN,NaN
0,10,NaN,NaN,NaN,NaN
0,11,NaN,NaN,NaN,NaN
0,12,NaN,NaN,NaN,NaN
0,13,NaN,NaN,NaN,NaN
0,14,NaN,NaN,NaN,NaN
1,0,645.4923706054688,611.8056640625,39.7099609375,20.749267578125
1,1,645.0633544921875,590.3088989257812,117.42279052734375,24.469970703125
1,2,667.7666015625,492.5062255859375,12.09259033203125,18.7169189453125
1,3,355.6907653808594,92.36910247802734,12.29754638671875,14.017990112304688
1,4,NaN,NaN,NaN,NaN
1,5,NaN,NaN,NaN,NaN
1,6,NaN,NaN,NaN,NaN
1,7,NaN,NaN,NaN,NaN
1,8,NaN,NaN,NaN,NaN
1,9,NaN,NaN,NaN,NaN
1,10,NaN,NaN,NaN,NaN
1,11,NaN,NaN,NaN,NaN
1,12,NaN,NaN,NaN,NaN
1,13,NaN,NaN,NaN,NaN
1,14,NaN,NaN,NaN,NaN
2,0,647.0447998046875,611.5092163085938,39.56549072265625,20.8804931640625
2,1,646.553466796875,589.7881469726562,117.36700439453125,24.585693359375
2,2,666.37158203125,492.09576416015625,12.00653076171875,19.23779296875
2,3,355.67987060546875,92.37165832519531,12.271240234375,13.980857849121094
2,4,NaN,NaN,NaN,NaN
2,5,NaN,NaN,NaN,NaN
2,6,NaN,NaN,NaN,NaN
2,7,NaN,NaN,NaN,NaN
2,8,NaN,NaN,NaN,NaN
2,9,NaN,NaN,NaN,NaN
2,10,NaN,NaN,NaN,NaN
2,11,NaN,NaN,NaN,NaN
2,12,NaN,NaN,NaN,NaN
2,13,NaN,NaN,NaN,NaN
2,14,NaN,NaN,NaN,NaN
3,0,647.56103515625,611.4234619140625,39.51580810546875,20.93280029296875
3,1,647.0625,589.6221923828125,117.33392333984375,24.6380615234375
3,2,664.7356567382812,491.51849365234375,12.1455078125,18.906158447265625
3,3,355.6958923339844,92.38833618164062,12.25372314453125,13.961265563964844
3,4,NaN,NaN,NaN,NaN
3,5,NaN,NaN,NaN,NaN
3,6,NaN,NaN,NaN,NaN
3,7,NaN,NaN,NaN,NaN
3,8,NaN,NaN,NaN,NaN
3,9,NaN,NaN,NaN,NaN
3,10,NaN,NaN,NaN,NaN
3,11,NaN,NaN,NaN,NaN
3,12,NaN,NaN,NaN,NaN
3,13,NaN,NaN,NaN,NaN
3,14,NaN,NaN,NaN,NaN
4,0,647.708251953125,611.3829345703125,39.52764892578125,20.9454345703125
4,1,647.1952514648438,589.56396484375,117.356689453125,24.694091796875
4,2,663.1728515625,491.1076354980469,12.48199462890625,19.2801513671875
4,3,355.699462890625,92.38594055175781,12.245269775390625,13.953758239746094
4,4,NaN,NaN,NaN,NaN
4,5,NaN,NaN,NaN,NaN
4,6,NaN,NaN,NaN,NaN
4,7,NaN,NaN,NaN,NaN
4,8,NaN,NaN,NaN,NaN
4,9,NaN,NaN,NaN,NaN
4,10,NaN,NaN,NaN,NaN
4,11,NaN,NaN,NaN,NaN
4,12,NaN,NaN,NaN,NaN
4,13,NaN,NaN,NaN,NaN
4,14,NaN,NaN,NaN,NaN
5,0,647.724365234375,611.42529296875,39.56805419921875,20.904296875
5,1,647.1981201171875,589.5740966796875,117.36102294921875,24.85052490234375
5,2,661.429443359375,490.5126953125,13.0123291015625,19.445037841796875
5,3,355.7196044921875,92.39004516601562,12.243682861328125,13.953948974609375
